latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.40773,16.864565,83.0,7200,Europe/Warsaw,GMT+2

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2024-01-01,4.5,6.6,3.1,0.10
2024-01-02,3.7,4.9,1.6,4.20
2024-01-03,7.3,10.0,4.4,12.20
2024-01-04,4.5,7.2,-1.1,4.10
2024-01-05,-1.4,-0.3,-3.6,2.20
2024-01-06,-1.3,-0.3,-2.6,0.00
2024-01-07,-6.3,-2.8,-9.0,0.00
2024-01-08,-9.8,-7.8,-11.3,0.00
2024-01-09,-9.6,-5.8,-12.2,0.00
2024-01-10,-6.6,-2.9,-9.2,0.00
2024-01-11,-2.4,-0.2,-5.6,0.00
2024-01-12,-2.5,-0.3,-5.2,0.00
2024-01-13,0.2,1.5,-1.2,1.50
2024-01-14,1.2,1.9,0.4,2.40
2024-01-15,0.4,2.2,-2.5,3.70
2024-01-16,-2.9,-0.9,-5.7,1.00
2024-01-17,-2.7,-0.4,-5.6,1.30
2024-01-18,-2.2,-1.1,-4.1,2.10
2024-01-19,-3.3,-0.8,-6.3,0.00
2024-01-20,0.1,1.5,-2.5,0.30
2024-01-21,-0.7,2.2,-5.8,0.00
2024-01-22,3.6,6.6,-0.2,1.30
2024-01-23,4.1,5.8,2.2,1.20
2024-01-24,6.4,10.2,1.6,8.60
2024-01-25,5.4,6.4,4.0,1.50
2024-01-26,4.5,7.2,2.8,4.00
2024-01-27,4.5,6.4,3.4,0.00
2024-01-28,3.7,5.4,0.8,0.00
2024-01-29,1.7,5.8,-1.2,0.00
2024-01-30,2.7,6.9,0.1,0.10
2024-01-31,4.7,6.9,2.7,0.00
2024-02-01,4.2,7.2,1.5,1.50
2024-02-02,3.8,5.8,1.6,1.40
2024-02-03,8.5,10.1,6.2,2.80
2024-02-04,6.2,7.9,4.4,0.30
2024-02-05,7.2,8.2,6.0,10.70
2024-02-06,8.4,9.6,7.1,1.20
2024-02-07,4.6,9.1,0.2,7.50
2024-02-08,0.7,4.5,-2.3,1.60
2024-02-09,2.0,4.9,0.4,6.00
2024-02-10,6.9,10.0,5.1,4.60
2024-02-11,7.9,10.6,5.8,3.70
2024-02-12,7.2,8.2,5.8,3.70
2024-02-13,4.7,6.8,1.5,0.00
2024-02-14,3.6,7.7,-0.1,1.30
2024-02-15,8.6,11.4,6.5,1.60
2024-02-16,9.8,13.8,6.3,0.10
2024-02-17,8.6,10.5,2.3,3.80
2024-02-18,3.3,5.9,-0.9,0.00
2024-02-19,5.7,7.7,4.2,6.00
2024-02-20,6.3,7.4,5.0,2.80
2024-02-21,6.6,9.4,4.1,1.50
2024-02-22,7.2,9.0,4.3,2.90
2024-02-23,8.8,10.0,6.6,2.90
2024-02-24,6.6,10.3,4.2,9.00
2024-02-25,4.8,10.1,0.2,0.00
2024-02-26,5.6,12.4,-0.3,0.80
2024-02-27,7.5,11.0,4.7,0.80
2024-02-28,6.1,7.2,4.3,3.20
2024-02-29,5.6,8.4,0.9,0.00
2024-03-01,10.1,15.9,6.4,0.80
2024-03-02,10.6,14.4,7.6,0.90
2024-03-03,10.2,14.6,6.7,0.10
2024-03-04,7.2,10.9,4.7,0.00
2024-03-05,4.1,5.4,1.5,0.20
2024-03-06,2.6,6.4,-1.9,0.20
2024-03-07,1.9,6.1,-1.5,0.00
2024-03-08,1.3,7.1,-3.2,0.00
2024-03-09,4.2,10.0,-1.6,0.00
2024-03-10,7.8,11.2,4.7,0.00
2024-03-11,8.7,12.4,7.1,2.90
2024-03-12,7.4,10.9,4.3,0.10
2024-03-13,7.3,11.4,4.2,0.50
2024-03-14,7.0,12.8,1.1,0.00
2024-03-15,10.7,16.4,6.4,0.10
2024-03-16,10.4,15.1,5.9,0.50
2024-03-17,4.2,5.7,1.6,0.20
2024-03-18,0.6,2.5,-3.0,0.00
2024-03-19,2.8,6.8,-0.9,0.00
2024-03-20,4.3,10.9,-2.7,0.00
2024-03-21,8.4,13.2,4.9,0.40
2024-03-22,9.3,12.3,6.4,4.70
2024-03-23,7.5,10.8,2.9,8.80
2024-03-24,4.2,8.6,1.2,0.80
2024-03-25,4.6,8.5,1.2,1.90
2024-03-26,6.2,13.4,-1.5,0.00
2024-03-27,12.0,17.9,6.6,0.00
2024-03-28,11.6,15.1,9.4,0.40
2024-03-29,11.2,16.0,5.2,0.00
2024-03-30,14.4,21.7,7.9,0.00
2024-03-31,14.9,20.9,10.3,0.00
2024-04-01,14.3,21.9,8.0,2.20
2024-04-02,11.1,14.2,9.1,0.80
2024-04-03,8.9,11.0,7.2,2.20
2024-04-04,10.6,16.2,6.3,4.20
2024-04-05,13.1,17.3,8.4,6.00
2024-04-06,14.9,19.8,10.6,0.30
2024-04-07,17.5,25.5,11.8,0.00
2024-04-08,18.4,26.1,11.9,0.00
2024-04-09,18.8,25.4,11.4,0.00
2024-04-10,12.5,15.1,8.4,0.00
2024-04-11,11.3,16.8,4.9,0.00
2024-04-12,13.8,17.7,9.9,0.10
2024-04-13,16.4,21.1,12.9,0.00
2024-04-14,14.6,17.9,8.1,0.50
2024-04-15,9.3,12.1,6.2,3.20
2024-04-16,7.6,10.9,4.7,4.90
2024-04-17,5.7,9.2,2.7,2.80
2024-04-18,4.4,8.2,0.8,1.80
2024-04-19,5.2,9.1,2.1,3.80
2024-04-20,4.5,6.0,1.3,0.50
2024-04-21,2.6,6.4,-1.8,0.80
2024-04-22,2.7,4.8,0.0,0.00
2024-04-23,4.2,7.6,-0.9,0.00
2024-04-24,5.9,9.9,1.8,0.10
2024-04-25,5.0,9.6,0.6,4.30
2024-04-26,7.6,13.3,1.0,0.10
2024-04-27,12.0,19.2,5.2,0.00
2024-04-28,15.1,21.6,9.2,0.00
2024-04-29,16.9,23.2,10.4,0.00
2024-04-30,19.2,25.9,11.1,0.00
2024-05-01,18.9,24.5,12.6,0.00
2024-05-02,18.9,24.5,13.3,0.00
2024-05-03,18.7,24.5,12.3,0.00
2024-05-04,18.6,24.9,13.4,0.00
2024-05-05,16.7,22.1,12.4,2.70
2024-05-06,14.6,18.8,10.4,0.00
2024-05-07,12.0,16.5,7.8,0.00
2024-05-08,11.0,16.0,5.8,0.00
2024-05-09,10.9,16.9,3.9,0.00
2024-05-10,13.3,18.7,6.4,0.00
2024-05-11,12.6,16.0,9.2,0.30
2024-05-12,12.0,17.5,5.6,0.00
2024-05-13,14.2,19.9,7.1,0.00
2024-05-14,16.6,23.0,9.4,0.00
2024-05-15,17.2,21.7,12.2,0.00
2024-05-16,18.0,23.2,12.1,0.00
2024-05-17,17.8,23.0,12.9,0.00
2024-05-18,16.6,22.0,11.4,0.30
2024-05-19,16.7,22.6,12.3,6.50
2024-05-20,17.0,22.1,11.0,2.00
2024-05-21,19.9,25.5,12.9,0.00
2024-05-22,20.3,24.8,16.9,3.80
2024-05-23,17.1,20.3,15.1,6.60
2024-05-24,17.7,22.8,13.2,8.40
2024-05-25,18.8,24.5,13.8,0.80
2024-05-26,19.7,25.5,13.6,1.10
2024-05-27,20.4,25.9,14.0,0.30
2024-05-28,18.7,24.8,14.8,2.60
2024-05-29,17.0,21.5,12.2,0.30
2024-05-30,18.8,23.9,13.4,0.90
2024-05-31,19.3,25.0,13.4,1.20
2024-06-01,19.6,24.4,14.9,4.90
2024-06-02,18.6,23.5,14.9,15.40
2024-06-03,17.3,20.0,15.4,0.60
2024-06-04,16.8,20.1,13.9,0.40
2024-06-05,17.6,24.0,11.5,0.90
2024-06-06,17.3,20.9,13.9,3.00
2024-06-07,15.4,18.7,12.0,7.90
2024-06-08,17.5,22.9,9.8,0.00
2024-06-09,17.1,20.1,12.9,0.00
2024-06-10,16.9,20.4,13.4,0.00
2024-06-11,14.8,16.8,11.4,0.10
2024-06-12,14.2,18.8,9.9,0.50
2024-06-13,14.0,17.5,9.2,1.10
2024-06-14,15.0,19.2,7.4,0.00
2024-06-15,18.5,25.5,13.4,2.40
2024-06-16,18.8,24.2,14.6,0.10
2024-06-17,20.0,25.9,14.1,1.40
2024-06-18,21.9,26.8,16.1,0.00
2024-06-19,19.3,22.9,13.9,12.30
2024-06-20,17.2,21.8,11.9,0.00
2024-06-21,21.4,27.8,13.6,1.20
2024-06-22,20.0,21.9,17.2,27.60
2024-06-23,18.5,22.8,13.9,0.00
2024-06-24,18.2,22.2,13.1,0.00
2024-06-25,19.8,23.8,13.8,0.10
2024-06-26,23.3,29.4,16.1,0.00
2024-06-27,24.6,30.5,20.0,4.10
2024-06-28,24.2,30.2,19.4,1.20
2024-06-29,22.6,28.6,15.2,0.00
2024-06-30,25.9,32.7,21.4,3.70
2024-07-01,19.3,22.8,16.1,8.40
2024-07-02,16.6,20.1,13.6,1.20
2024-07-03,16.1,18.6,13.1,0.00
2024-07-04,15.8,20.6,11.7,2.00
2024-07-05,16.9,22.2,11.3,0.40
2024-07-06,22.2,30.0,13.8,0.20
2024-07-07,20.0,23.5,17.0,1.30
2024-07-08,20.6,26.8,13.0,0.00
2024-07-09,23.9,29.9,15.8,0.10
2024-07-10,26.3,30.9,22.4,0.80
2024-07-11,23.1,27.4,20.1,11.60
2024-07-12,22.3,27.6,17.6,7.60
2024-07-13,20.3,23.0,17.0,0.70
2024-07-14,19.7,24.5,16.1,2.90
2024-07-15,22.2,28.5,14.6,0.00
2024-07-16,23.3,27.5,19.7,6.30
2024-07-17,21.4,25.0,17.6,0.00
2024-07-18,20.6,24.7,15.8,0.00
2024-07-19,21.6,27.0,15.1,0.00
2024-07-20,23.4,29.0,15.9,0.00
2024-07-21,24.8,31.1,16.9,0.00
2024-07-22,23.1,30.0,19.1,0.90
2024-07-23,20.9,26.0,15.3,0.00
2024-07-24,19.8,23.4,16.4,14.60
2024-07-25,18.6,22.7,14.1,0.00
2024-07-26,19.4,25.6,12.1,0.00
2024-07-27,20.6,24.1,15.4,2.50
