latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.65026,17.87234,167.0,7200,Europe/Warsaw,GMT+2

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2024-01-01,4.2,6.2,3.4,4.70
2024-01-02,4.1,6.0,1.8,1.50
2024-01-03,7.9,10.8,4.5,7.40
2024-01-04,6.4,8.4,2.3,7.00
2024-01-05,2.1,4.9,-0.1,0.50
2024-01-06,1.6,4.1,-1.2,2.80
2024-01-07,-4.1,-1.5,-6.1,6.30
2024-01-08,-8.3,-5.9,-11.4,0.00
2024-01-09,-11.4,-7.8,-14.9,0.00
2024-01-10,-12.5,-8.3,-15.5,0.00
2024-01-11,-6.2,-2.6,-12.8,1.00
2024-01-12,-2.0,-1.4,-2.6,0.20
2024-01-13,-0.2,0.7,-1.3,0.40
2024-01-14,0.6,1.2,-0.3,3.80
2024-01-15,-0.4,0.3,-1.3,2.10
2024-01-16,-2.4,-0.6,-6.8,6.20
2024-01-17,-2.8,2.1,-7.9,0.50
2024-01-18,0.6,3.6,-2.3,4.70
2024-01-19,-3.3,-0.8,-5.5,0.00
2024-01-20,-2.7,-0.2,-5.6,0.00
2024-01-21,-2.1,2.3,-7.6,0.00
2024-01-22,0.3,2.9,-3.3,0.10
2024-01-23,3.5,6.1,1.7,1.30
2024-01-24,5.7,11.4,0.6,7.30
2024-01-25,5.3,6.5,4.3,1.70
2024-01-26,4.5,7.1,3.2,2.80
2024-01-27,3.8,5.5,3.0,0.70
2024-01-28,3.5,5.8,-0.2,0.00
2024-01-29,1.9,7.8,-1.3,0.00
2024-01-30,2.2,8.3,-1.9,0.00
2024-01-31,2.1,5.8,-2.2,0.80
2024-02-01,3.2,6.3,-1.7,2.40
2024-02-02,4.7,6.7,3.2,0.20
2024-02-03,8.2,9.4,6.2,1.50
2024-02-04,7.7,9.3,6.1,6.00
2024-02-05,8.8,10.7,5.7,8.90
2024-02-06,8.0,9.3,6.9,0.00
2024-02-07,6.7,9.3,2.6,3.70
2024-02-08,2.9,4.4,1.4,5.30
2024-02-09,6.2,10.4,2.5,3.70
2024-02-10,9.5,13.5,6.8,1.50
2024-02-11,9.4,10.2,8.6,5.50
2024-02-12,7.5,10.4,4.7,2.00
2024-02-13,4.5,7.5,0.5,0.10
2024-02-14,3.8,9.5,-1.4,0.00
2024-02-15,7.8,13.3,3.9,0.00
2024-02-16,8.5,14.1,4.9,0.00
2024-02-17,8.0,11.5,4.8,7.60
2024-02-18,5.3,7.5,3.4,0.00
2024-02-19,6.4,9.4,3.7,3.90
2024-02-20,7.0,9.4,5.2,4.80
2024-02-21,5.7,8.6,3.9,0.50
2024-02-22,6.8,8.4,4.3,2.60
2024-02-23,8.2,10.2,6.9,8.60
2024-02-24,7.2,10.4,3.9,4.70
2024-02-25,6.3,11.8,1.8,6.70
2024-02-26,8.1,13.4,4.0,5.80
2024-02-27,9.6,15.2,5.4,0.20
2024-02-28,6.6,7.9,5.5,6.00
2024-02-29,7.5,11.1,5.2,0.00
2024-03-01,10.1,16.3,6.4,2.80
2024-03-02,9.9,14.2,6.5,0.30
2024-03-03,10.0,15.1,6.0,0.10
2024-03-04,8.9,13.8,5.2,0.50
2024-03-05,5.6,7.4,2.4,0.60
2024-03-06,4.5,8.0,2.5,0.80
2024-03-07,3.3,4.9,0.1,0.00
2024-03-08,1.9,8.0,-2.9,0.00
2024-03-09,5.3,10.8,-0.6,0.00
2024-03-10,10.3,13.9,6.5,0.00
2024-03-11,11.0,14.1,8.8,2.70
2024-03-12,7.9,9.5,6.7,4.00
2024-03-13,7.8,10.8,4.4,0.40
2024-03-14,8.9,13.2,5.3,0.00
2024-03-15,10.3,16.2,5.7,0.00
2024-03-16,10.5,15.4,6.7,10.70
2024-03-17,5.6,8.5,1.9,0.40
2024-03-18,2.0,3.5,-1.1,0.00
2024-03-19,2.0,5.7,-2.0,0.00
2024-03-20,4.4,11.5,-2.6,0.00
2024-03-21,7.9,15.2,-0.3,0.00
2024-03-22,9.6,12.9,7.3,0.20
2024-03-23,10.2,17.6,4.9,3.70
2024-03-24,5.3,9.3,1.9,1.40
2024-03-25,4.9,8.4,1.8,4.40
2024-03-26,6.9,14.7,-0.1,0.00
2024-03-27,11.9,16.6,7.8,0.00
2024-03-28,12.2,15.4,9.0,1.10
2024-03-29,11.5,17.0,5.0,0.00
2024-03-30,16.5,21.8,11.9,0.00
2024-03-31,16.9,21.9,12.9,0.00
2024-04-01,17.0,23.6,12.6,2.20
2024-04-02,11.1,13.9,8.6,17.50
2024-04-03,11.1,14.9,8.1,0.90
2024-04-04,12.5,17.4,7.7,3.80
2024-04-05,13.6,18.1,8.8,1.50
2024-04-06,15.9,20.2,12.1,0.40
2024-04-07,18.3,27.1,11.7,0.00
2024-04-08,19.5,24.7,14.6,0.00
2024-04-09,19.4,25.4,14.7,0.00
2024-04-10,12.2,16.9,10.3,2.30
2024-04-11,11.8,16.2,6.5,0.00
2024-04-12,13.4,19.3,7.3,0.00
2024-04-13,16.0,21.3,10.8,0.00
2024-04-14,16.5,21.6,11.7,0.90
2024-04-15,11.3,13.4,9.5,1.80
2024-04-16,9.3,12.2,5.7,2.00
2024-04-17,5.6,7.9,3.6,4.80
2024-04-18,4.8,9.0,0.6,4.30
2024-04-19,6.4,11.3,1.4,2.20
2024-04-20,5.6,8.1,3.5,9.00
2024-04-21,3.7,5.7,1.3,0.20
2024-04-22,2.7,5.1,0.3,0.00
2024-04-23,3.9,9.7,-3.9,0.00
2024-04-24,5.9,7.6,4.4,6.60
2024-04-25,6.1,11.6,0.7,0.90
2024-04-26,8.1,14.4,0.5,0.00
2024-04-27,12.3,19.0,5.9,0.00
2024-04-28,15.8,22.2,9.7,0.00
2024-04-29,18.2,25.3,12.0,0.00
2024-04-30,19.1,26.0,12.7,0.00
2024-05-01,18.5,25.2,12.1,0.00
2024-05-02,18.5,24.0,12.9,0.20
2024-05-03,18.6,24.4,12.5,0.00
2024-05-04,18.3,24.7,12.1,0.00
2024-05-05,18.2,25.0,10.9,1.10
2024-05-06,16.0,20.3,12.1,1.00
2024-05-07,13.8,16.7,10.8,0.00
2024-05-08,12.9,17.5,7.9,0.00
2024-05-09,12.3,18.0,6.5,0.00
2024-05-10,13.4,19.8,4.6,0.00
2024-05-11,14.0,19.7,8.9,0.70
2024-05-12,13.8,18.9,8.0,0.00
